Ano,Mes,Mes_txt,Produto,Descricao,Orçado,Realizado,Var_pct,Var_rs
2020,2,Fev,1820224,1820224 - RENDAS DE CAMBIO,0,0,0,0
2020,2,Fev,1820225,1820225 - RENDAS F. INFRAESTRUTURA,0,0,0,0
2020,2,Fev,1820226,1820226 - RENDAS MOEDA ESTRANGEIRA,0,0,0,0
2020,3,Mar,18201,18201 - SALDO DA CARTEIRA DE CREDITO,38726201.06,39133816.8,1.05255803265714,407615.739999987
2020,3,Mar,1820101,1820101 - ADIANTAMENTOS A DEPOSITANTES,0,683.74,0,683.74
2020,3,Mar,1820102,1820102 - CHEQUE CONFIANCA,305993.86,201650.25,-34.0999031810638,-104343.61
2020,3,Mar,1820103,1820103 - CHEQUE ESPECIAL BANESTES,332278.23,194084.46,-41.5897755323904,-138193.77
2020,3,Mar,1820104,1820104 - CREDITOS CEDIDOS,0,0,0,0
2020,3,Mar,1820105,1820105 - CONTA GARANTIDA,914667.94,688113.83,-24.7690008682277,-226554.11
2020,3,Mar,1820106,1820106 - REESTRUTURACAO DE DIVIDAS,2098369.27,2202022.15,4.93968728392595,103652.88
2020,3,Mar,1820107,1820107 - CONSIGNADO,18157659.11,18524617.82,2.02095825115423,366958.710000001
2020,3,Mar,1820108,1820108 - MICROCREDITO,107564.44,139109.56,29.3267180120121,31545.12
2020,3,Mar,1820109,1820109 - VENDOR,0,0,0,0
2020,3,Mar,1820110,1820110 - COMPROR,0,0,0,0
2020,3,Mar,1820111,1820111 - CREDITO PESSOAL,2735218.43,2554946.97,-6.59075187644155,-180271.46
2020,3,Mar,1820112,1820112 - CAPITAL DE GIRO,7505788.02,7805224.36,3.98940576528566,299436.340000001
2020,3,Mar,1820113,1820113 - BANESTES FINANCEIRA,0,0,0,0
2020,3,Mar,1820114,1820114 - CARTAO VISA,602151.48,504898.41,-16.1509309916502,-97253.07
2020,3,Mar,1820115,1820115 - CARTAO BANESCARD,789574.51,707087.76,-10.4469874540403,-82486.75
2020,3,Mar,1820116,1820116 - TITULOS DESCONTADOS,964480.5,1159857.75,20.2572524794436,195377.25
2020,3,Mar,1820117,1820117 - F. PARA INVESTIMENTOS,145396.31,2120.73,-98.5414141528076,-143275.58
2020,3,Mar,1820118,1820118 - F. VEICULOS,0,0,0,0
2020,3,Mar,1820119,1820119 - F. BENS,323849.69,574827.93,77.4983727790507,250978.24
2020,3,Mar,1820120,1820120 - F. MOEDA ESTRANGEIRA,0,0,0,0
2020,3,Mar,1820121,1820121 - F. RURAIS,0,0,0,0
2020,3,Mar,1820122,1820122 - F. IMOBILIARIOS,3743209.27,3874571.08,3.509336521813,131361.81
2020,3,Mar,1820123,1820123 - LEASING,0,0,0,0
2020,3,Mar,1820124,1820124 - CAMBIO,0,0,0,0
2020,3,Mar,1820126,1820126 - F. INFRAESTRUTURA,0,0,0,0
2020,3,Mar,1820127,1820127 - OPERACOES COM CARTAO DE CREDITO,0,0,0,0
2020,3,Mar,1820128,1820128 - OUTROS CREDITOS,0,0,0,0
2020,3,Mar,18202,18202 - RENDAS DA CARTEIRA DE CREDITO,880126.994479,790109.31,-10.227806332913,-90017.6844789998
2020,3,Mar,1820201,1820201 - RENDAS ADIANTAMENTOS A DEPOSITANTES,0,29.45,0,29.45
2020,3,Mar,1820202,1820202 - RENDAS CHEQUE CONFIANCA,38740.63,16815.66,-56.5942525973377,-21924.97
2020,3,Mar,1820203,1820203 - RENDAS CHEQUE ESPECIAL BANESTES,26665.57,21284.22,-20.1808924392016,-5381.35
2020,3,Mar,1820204,1820204 - RENDAS CREDITOS CEDIDOS,0,0,0,0
2020,3,Mar,1820205,1820205 - RENDAS CONTA GARANTIDA,22602.23,16235.48,-28.1686807009751,-6366.75
2020,3,Mar,1820206,1820206 - RENDAS REESTRUTURACAO DE DIVIDAS,42153.77,41950.95,-0.481143204984991,-202.82
2020,3,Mar,1820207,1820207 - RENDAS CONSIGNADO,327394.75,293518.2,-10.3473100897311,-33876.55
2020,3,Mar,1820208,1820208 - RENDAS MICROCREDITO,1626.684479,2292.8,40.9492762486732,666.115521
2020,3,Mar,1820209,1820209 - RENDAS VENDOR,0,0,0,0
2020,3,Mar,1820210,1820210 - RENDAS COMPROR,0,0,0,0
2020,3,Mar,1820211,1820211 - RENDAS CREDITO PESSOAL,125289.91,116601.34,-6.93477232125077,-8688.57000000001
2020,3,Mar,1820212,1820212 - RENDAS CAPITAL DE GIRO,119215.59,108200.44,-9.23968920507795,-11015.15
2020,3,Mar,1820213,1820213 - RENDAS BANESTES FINANCEIRA,0,0,0,0
2020,3,Mar,1820214,1820214 - RENDAS CARTAO VISA,45545.64,40166.49,-11.8104608915365,-5379.15
2020,3,Mar,1820215,1820215 - RENDAS CARTAO BANESCARD,69310.46,62248.46,-10.188938293008,-7062.00000000001
2020,3,Mar,1820216,1820216 - RENDAS TITULOS DESCONTADOS,29039.64,34759.07,19.695251043057,5719.43
2020,3,Mar,1820217,1820217 - RENDAS F. INVESTIMENTO,1303.58,0,-100,-1303.58
2020,3,Mar,1820218,1820218 - RENDAS F. VEICULOS,0,0,0,0
2020,3,Mar,1820219,1820219 - RENDAS F. BENS,5270.71,7670.76,45.5356109518452,2400.05
2020,3,Mar,1820221,1820221 - RENDAS F. RURAIS,0,0,0,0
2020,3,Mar,1820222,1820222 - RENDAS F. IMOBILIARIOS,25967.83,28335.99,9.11959143293837,2368.16
2020,3,Mar,1820223,1820223 - RENDAS LEASING,0,0,0,0
2020,3,Mar,1820224,1820224 - RENDAS DE CAMBIO,0,0,0,0
2020,3,Mar,1820225,1820225 - RENDAS F. INFRAESTRUTURA,0,0,0,0
2020,3,Mar,1820226,1820226 - RENDAS MOEDA ESTRANGEIRA,0,0,0,0
2020,4,Abr,18201,18201 - SALDO DA CARTEIRA DE CREDITO,38954351.13,38976176.04,0.0560268862576319,21824.9100000039
2020,4,Abr,1820101,1820101 - ADIANTAMENTOS A DEPOSITANTES,0,259.44,0,259.44
2020,4,Abr,1820102,1820102 - CHEQUE CONFIANCA,306442.66,194573.61,-36.5057038729529,-111869.05
2020,4,Abr,1820103,1820103 - CHEQUE ESPECIAL BANESTES,332982.53,128011.37,-61.5561302870754,-204971.16
2020,4,Abr,1820104,1820104 - CREDITOS CEDIDOS,0,0,0,0
2020,4,Abr,1820105,1820105 - CONTA GARANTIDA,918303.04,409055.46,-55.4552863072303,-509247.58
2020,4,Abr,1820106,1820106 - REESTRUTURACAO DE DIVIDAS,2088250.96,2207548,5.71277314293681,119297.04
2020,4,Abr,1820107,1820107 - CONSIGNADO,18282167.51,18397381.71,0.630199892529038,115214.199999999
2020,4,Abr,1820108,1820108 - MICROCREDITO,107911.7,137439.29,27.3627326786623,29527.59
2020,4,Abr,1820109,1820109 - VENDOR,0,0,0,0
2020,4,Abr,1820110,1820110 - COMPROR,0,0,0,0
2020,4,Abr,1820111,1820111 - CREDITO PESSOAL,2754989.75,2487989.44,-9.69151736408457,-267000.31
2020,4,Abr,1820112,1820112 - CAPITAL DE GIRO,7537334.2,8447827.64,12.0797806736499,910493.44
2020,4,Abr,1820113,1820113 - BANESTES FINANCEIRA,0,0,0,0
2020,4,Abr,1820114,1820114 - CARTAO VISA,606036.02,483267.49,-20.2576292412454,-122768.53
2020,4,Abr,1820115,1820115 - CARTAO BANESCARD,793731.2,709846.33,-10.5684229119379,-83884.87
2020,4,Abr,1820116,1820116 - TITULOS DESCONTADOS,968482.91,1002795.92,3.54296494503965,34313.01
2020,4,Abr,1820117,1820117 - F. PARA INVESTIMENTOS,141109.56,2120.73,-98.4971039524182,-138988.83
2020,4,Abr,1820118,1820118 - F. VEICULOS,0,0,0,0
2020,4,Abr,1820119,1820119 - F. BENS,317209.97,563349.24,77.5950610884015,246139.27
2020,4,Abr,1820120,1820120 - F. MOEDA ESTRANGEIRA,0,0,0,0
2020,4,Abr,1820121,1820121 - F. RURAIS,0,0,0,0
2020,4,Abr,1820122,1820122 - F. IMOBILIARIOS,3799399.12,3804710.37,0.139791841610992,5311.25
2020,4,Abr,1820123,1820123 - LEASING,0,0,0,0
2020,4,Abr,1820124,1820124 - CAMBIO,0,0,0,0
2020,4,Abr,1820126,1820126 - F. INFRAESTRUTURA,0,0,0,0
2020,4,Abr,1820127,1820127 - OPERACOES COM CARTAO DE CREDITO,0,0,0,0
2020,4,Abr,1820128,1820128 - OUTROS CREDITOS,0,0,0,0
2020,4,Abr,18202,18202 - RENDAS DA CARTEIRA DE CREDITO,851453.569273,760489.37,-10.683401016296,-90964.1992730001
2020,4,Abr,1820201,1820201 - RENDAS ADIANTAMENTOS A DEPOSITANTES,0,1117.25,0,1117.25
2020,4,Abr,1820202,1820202 - RENDAS CHEQUE CONFIANCA,38797.45,16983.12,-56.2261952782979,-21814.33
2020,4,Abr,1820203,1820203 - RENDAS CHEQUE ESPECIAL BANESTES,26722.09,12913.47,-51.6749251274882,-13808.62
2020,4,Abr,1820204,1820204 - RENDAS CREDITOS CEDIDOS,0,0,0,0
2020,4,Abr,1820205,1820205 - RENDAS CONTA GARANTIDA,23952.33,15409.53,-35.6658412772369,-8542.8
2020,4,Abr,1820206,1820206 - RENDAS REESTRUTURACAO DE DIVIDAS,40700.9,43145,6.00502691586673,2444.1
2020,4,Abr,1820207,1820207 - RENDAS CONSIGNADO,315727.9,286933.66,-9.1199542390774,-28794.2400000001
2020,4,Abr,1820208,1820208 - RENDAS MICROCREDITO,1631.939273,2068.71,26.7639080832391,436.770727
2020,4,Abr,1820209,1820209 - RENDAS VENDOR,0,0,0,0
2020,4,Abr,1820210,1820210 - RENDAS COMPROR,0,0,0,0
2020,4,Abr,1820211,1820211 - RENDAS CREDITO PESSOAL,120736.9,109439.67,-9.35689917498296,-11297.23
2020,4,Abr,1820212,1820212 - RENDAS CAPITAL DE GIRO,107909.96,108517.74,0.563228825216866,607.779999999999
